frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,roll,pitch,yaw,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
3701,0.9998,0.019181,-0.0049497,-0.019646,0.99211,-0.12384,0.0025352,0.12392,0.99229,7.114,-0.2836,-1.0991,0.062062,-0.0018749,-0.009726,0.99802,0.9875,-0.029833,-0.15476,7.2066,1.1083,134.37,-648.84,0.0031101,0.17729,-0.65563,-0.055488,0.18943,-0.71261,-0.016599,0.1911,-0.72524,0.062122,0.17875,-0.69798
3831,0.99956,0.018491,-0.023003,-0.021201,0.99208,-0.12379,0.020532,0.12422,0.99204,7.1126,-1.3181,-1.0598,0.062129,-0.010906,-0.0099433,0.99796,0.97293,-0.17079,-0.15571,7.3225,1.9016,134.51,-649.83,0.0035721,0.17746,-0.65651,-0.056038,0.18948,-0.7125,-0.017435,0.19138,-0.72572,0.061732,0.17863,-0.7
3834,0.99894,0.018786,-0.0421,-0.023899,0.99194,-0.12445,0.039423,0.12532,0.99133,7.1552,-2.4129,-1.0774,0.062581,-0.020426,-0.010695,0.99777,0.93834,-0.30627,-0.16036,7.6482,2.947,134.65,-650.02,0.0046034,0.17758,-0.65686,-0.056063,0.1896,-0.71167,-0.017703,0.19134,-0.72568,0.061953,0.17884,-0.70134
3836,0.99808,0.015331,-0.060067,-0.022962,0.99145,-0.12848,0.057583,0.12962,0.98989,7.3954,-3.4436,-0.88005,0.064691,-0.029488,-0.0095981,0.99742,0.90174,-0.41104,-0.13379,8.2279,3.9065,134.84,-649.99,0.0054628,0.17775,-0.65698,-0.056159,0.18965,-0.7108,-0.018058,0.19134,-0.72546,0.061999,0.17852,-0.70264
3838,0.99676,0.018724,-0.078236,-0.028385,0.99184,-0.12426,0.075271,0.12608,0.98916,7.1602,-4.4872,-1.0761,0.06276,-0.038484,-0.01181,0.99722,0.84173,-0.51614,-0.15839,8.552,4.899,134.64,-650.15,0.0063906,0.17754,-0.65715,-0.056204,0.18957,-0.70971,-0.018395,0.19122,-0.72517,0.062065,0.17886,-0.70364
3840,0.99503,0.013865,-0.098574,-0.026756,0.99106,-0.13068,0.095881,0.13266,0.98651,7.5457,-5.657,-0.79834,0.066062,-0.048781,-0.01019,0.99657,0.79833,-0.5895,-0.12314,9.4933,5.9416,135.01,-649.91,0.0074064,0.17787,-0.65719,-0.056211,0.18976,-0.70856,-0.018676,0.19121,-0.72478,0.062188,0.17856,-0.70495
3842,0.99262,0.016861,-0.12009,-0.03244,0.99112,-0.12898,0.11685,0.13193,0.98435,7.4651,-6.8972,-0.97315,0.065489,-0.059471,-0.012375,0.996,0.73316,-0.66579,-0.13854,10.249,7.2565,134.89,-650.12,0.0084991,0.17776,-0.65743,-0.056238,0.18955,-0.70738,-0.019068,0.19105,-0.72443,0.062179,0.17871,-0.70624
3844,0.98963,0.012939,-0.14307,-0.031608,0.99114,-0.12899,0.14014,0.13218,0.98127,7.4889,-8.2257,-0.7491,0.065605,-0.07114,-0.01119,0.99524,0.67344,-0.73026,-0.11487,11.181,8.226,134.88,-650.3,0.0094761,0.17773,-0.65768,-0.056358,0.18975,-0.70613,-0.01958,0.19108,-0.72399,0.062082,0.17846,-0.70775
3846,0.98665,0.016698,-0.16202,-0.038157,0.99075,-0.13026,0.15835,0.1347,0.97815,7.5852,-9.3242,-0.96958,0.06661,-0.080541,-0.013791,0.99443,0.63184,-0.76398,-0.13081,12.103,9.4727,135.14,-650.35,0.010374,0.17799,-0.65781,-0.056418,0.18962,-0.70502,-0.020025,0.1911,-0.72359,0.061941,0.17879,-0.70883
3849,0.98326,0.013322,-0.1817,-0.037286,0.99093,-0.12912,0.17833,0.13373,0.97484,7.5451,-10.469,-0.77623,0.066136,-0.090585,-0.012733,0.99361,0.5859,-0.80249,-0.1128,12.963,10.514,135.06,-650.55,0.011431,0.1779,-0.65802,-0.056267,0.1898,-0.70389,-0.020213,0.19114,-0.72319,0.062043,0.17856,-0.7101
