frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,roll,pitch,yaw,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
5100,0.99994,-0.0090173,-0.0064577,0.0087853,0.99935,-0.035092,0.00677,0.035033,0.99936,2.0111,-0.37,0.51667,0.017534,-0.0033075,0.0044514,0.99983,0.95345,-0.17985,0.24205,2.1075,-10.537,133.02,-675.53,-0.010927,0.18202,-0.6851,-0.068803,0.19647,-0.74241,-0.029804,0.19744,-0.75457,0.04811,0.18113,-0.72719
5140,0.99984,-0.014282,-0.010768,0.013712,0.99859,-0.051285,0.011486,0.051129,0.99863,2.9399,-0.617,0.81838,0.025613,-0.0055656,0.0070011,0.99963,0.9441,-0.20515,0.25806,3.1092,-9.2181,132.45,-676.61,-0.0093418,0.18129,-0.68701,-0.067423,0.19514,-0.74426,-0.028448,0.19567,-0.75676,0.049522,0.17951,-0.72954
5192,0.99983,-0.01434,0.011857,0.014713,0.99938,-0.03196,-0.011392,0.032129,0.99942,1.8316,0.67938,0.82172,0.016025,0.0058132,0.0072645,0.99983,0.86481,0.31371,0.39203,2.1235,-10.334,130.78,-674.48,-0.010267,0.17981,-0.68393,-0.067004,0.19474,-0.74224,-0.027798,0.19553,-0.75376,0.049557,0.17877,-0.72507
5195,0.99919,-0.019456,0.035204,0.020611,0.99925,-0.032745,-0.034541,0.033444,0.99884,1.8776,2.0175,1.1155,0.016553,0.017442,0.01002,0.99966,0.63541,0.66955,0.38464,2.9855,-11.151,130.68,-674.03,-0.010515,0.17968,-0.68359,-0.065807,0.19488,-0.7432,-0.026309,0.19536,-0.75387,0.050225,0.17837,-0.72331
5198,0.99695,-0.02669,0.073302,0.029014,0.9991,-0.030824,-0.072414,0.032857,0.99683,1.7711,4.2037,1.5335,0.015934,0.036461,0.013939,0.99911,0.37793,0.8648,0.3306,4.8328,-12.145,130.57,-673.76,-0.010764,0.17958,-0.68324,-0.063632,0.19524,-0.74492,-0.023758,0.19542,-0.75404,0.051403,0.17788,-0.72056
5200,0.99456,-0.036069,0.097709,0.039144,0.99879,-0.029736,-0.096518,0.033399,0.99477,1.7122,5.6073,2.077,0.015807,0.048629,0.018831,0.99851,0.29009,0.89242,0.34558,6.2473,-12.94,130.58,-673.69,-0.010916,0.17958,-0.68309,-0.062118,0.19572,-0.74603,-0.022002,0.19557,-0.75419,0.052171,0.17725,-0.71884
5201,0.99096,-0.04257,0.12719,0.04683,0.99843,-0.030691,-0.12568,0.03637,0.9914,1.7731,7.3072,2.4598,0.016806,0.06337,0.022404,0.9976,0.24256,0.91466,0.32337,7.9456,-13.702,130.65,-673.51,-0.01112,0.17962,-0.68293,-0.06032,0.19594,-0.74743,-0.020025,0.19554,-0.75434,0.052953,0.17674,-0.71684
5202,0.98788,-0.047717,0.14773,0.052682,0.99816,-0.029878,-0.14603,0.037298,0.98858,1.7311,8.4954,2.7654,0.016848,0.073675,0.02518,0.99682,0.21149,0.92486,0.31609,9.1381,-14.362,130.7,-673.43,-0.01129,0.17965,-0.68281,-0.05905,0.19622,-0.74831,-0.018632,0.19559,-0.75441,0.053451,0.17646,-0.71539
5204,0.97997,-0.058384,0.19041,0.065527,0.99736,-0.031429,-0.18807,0.043276,0.9812,1.8346,10.977,3.4095,0.018774,0.095116,0.03114,0.9948,0.18437,0.93407,0.3058,11.689,-15.661,131.02,-673.19,-0.011707,0.1799,-0.68259,-0.056398,0.1967,-0.75017,-0.01578,0.19565,-0.7545,0.054358,0.17577,-0.71243
5205,0.97514,-0.065506,0.2117,0.074165,0.99669,-0.033218,-0.20883,0.048093,0.97677,1.9477,12.222,3.8431,0.02046,0.10581,0.035144,0.99355,0.18048,0.93344,0.31002,13.018,-16.555,131.11,-673.07,-0.011943,0.17992,-0.68256,-0.05506,0.19687,-0.75114,-0.014302,0.19543,-0.75462,0.054763,0.17522,-0.71099
