frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,roll,pitch,yaw,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
6153,0.9995,0.031447,0.0045373,-0.031502,0.99943,0.01238,-0.0041454,-0.012517,0.99991,-0.70935,0.25997,-1.8021,-0.0062251,0.002171,-0.01574,0.99985,-0.3648,0.12722,-0.92235,1.9555,4.691,137.6,-492.04,0.0032734,0.22895,-0.52937,-0.052422,0.23337,-0.5902,-0.013095,0.23474,-0.60094,0.06414,0.2253,-0.56887
6163,0.99953,0.024328,0.018869,-0.024379,0.9997,0.0024664,-0.018804,-0.0029253,0.99982,-0.14134,1.0812,-1.3943,-0.0013481,0.0094194,-0.012178,0.99988,-0.087228,0.60948,-0.78799,1.771,4.9481,139.53,-494.92,0.004737,0.23053,-0.53312,-0.050027,0.23477,-0.59481,-0.010551,0.23576,-0.60494,0.066165,0.22607,-0.57163
6167,0.99917,0.018388,0.036267,-0.018437,0.99983,0.0010254,-0.036242,-0.0016932,0.99934,-0.05879,2.0784,-1.0543,-0.0006798,0.018131,-0.0092083,0.99979,-0.033411,0.8911,-0.45257,2.3317,3.19,140.06,-494.43,0.0044477,0.23096,-0.53285,-0.049174,0.23552,-0.59542,-0.0095255,0.23613,-0.60495,0.066526,0.22621,-0.57037
6171,0.99842,0.016767,0.053548,-0.017131,0.99983,0.0063613,-0.053432,-0.0072687,0.99855,-0.365,3.0695,-0.96208,-0.0034089,0.026756,-0.0084778,0.9996,-0.12057,0.94633,-0.29986,3.2403,1.7675,139.48,-494.32,0.0035435,0.23065,-0.53208,-0.048977,0.23557,-0.59552,-0.0091629,0.2363,-0.6043,0.066253,0.2259,-0.56851
6181,0.99963,0.024567,-0.011329,-0.024375,0.99956,0.016767,0.011736,-0.016484,0.9998,-0.96076,-0.64914,-1.4078,-0.0083137,-0.0057671,-0.012237,0.99987,-0.52359,-0.36321,-0.77067,1.8196,4.9684,138.75,-491.4,0.0036608,0.23024,-0.52839,-0.052953,0.2353,-0.58826,-0.013754,0.2364,-0.59961,0.063924,0.22637,-0.56885
6182,0.9991,0.028225,-0.03167,-0.027685,0.99947,0.017354,0.032143,-0.016462,0.99935,-0.99487,-1.8148,-1.6182,-0.0084562,-0.015957,-0.013981,0.99974,-0.37025,-0.69868,-0.61217,2.6174,6.4458,138.69,-490.83,0.0040896,0.23017,-0.52779,-0.053703,0.23504,-0.58649,-0.014864,0.23627,-0.59869,0.063541,0.22653,-0.56952
6183,0.9979,0.03301,-0.055724,-0.031854,0.99926,0.021497,0.056392,-0.019677,0.99821,-1.2337,-3.1944,-1.8946,-0.010299,-0.028045,-0.016225,0.99942,-0.30294,-0.8249,-0.47724,3.8966,8.7189,138.42,-490.79,0.004635,0.2301,-0.52712,-0.054657,0.23477,-0.58444,-0.016007,0.23644,-0.59748,0.063049,0.22669,-0.5703
6184,0.99589,0.038512,-0.081995,-0.036315,0.99894,0.02812,0.082991,-0.025026,0.99624,-1.6168,-4.7032,-2.2146,-0.013301,-0.041293,-0.018728,0.99888,-0.2815,-0.87388,-0.39634,5.4167,10.158,138.1,-490.3,0.0052652,0.22983,-0.52638,-0.055529,0.2347,-0.58206,-0.017313,0.23632,-0.59619,0.062451,0.22727,-0.57095
6185,0.99308,0.044527,-0.1087,-0.040998,0.99856,0.034493,0.11008,-0.029798,0.99348,-1.9885,-6.2405,-2.5673,-0.016103,-0.054798,-0.021421,0.99814,-0.26398,-0.89833,-0.35117,6.9944,12.718,137.83,-490.39,0.0058909,0.22981,-0.52551,-0.056394,0.2345,-0.57948,-0.018555,0.23665,-0.59456,0.061893,0.22758,-0.5717
6186,0.98933,0.049238,-0.13713,-0.044607,0.99833,0.036643,0.13871,-0.030135,0.98988,-2.12,-7.8818,-2.8492,-0.016742,-0.069153,-0.023527,0.99719,-0.2234,-0.92278,-0.31395,8.5956,14.464,137.88,-489.46,0.0065782,0.22979,-0.52455,-0.057287,0.23434,-0.57673,-0.019912,0.23648,-0.59293,0.061297,0.22804,-0.57237
6187,0.98439,0.056826,-0.16655,-0.04948,0.99762,0.047932,0.16888,-0.038943,0.98487,-2.7863,-9.5874,-3.3039,-0.021809,-0.084207,-0.026687,0.99585,-0.2397,-0.92548,-0.29331,10.441,16.862,137.2,-489.78,0.0073552,0.2294,-0.52369,-0.058086,0.23406,-0.57384,-0.021203,0.23659,-0.59115,0.060548,0.22846,-0.57303
6188,0.97853,0.063264,-0.19616,-0.054745,0.99732,0.048556,0.19871,-0.036774,0.97937,-2.8383,-11.313,-3.6992,-0.021453,-0.099276,-0.029669,0.99439,-0.20274,-0.93823,-0.28039,12.148,19.378,137.32,-489.19,0.0080679,0.22944,-0.52274,-0.058893,0.23356,-0.57095,-0.022619,0.23642,-0.58935,0.059729,0.22873,-0.57379
6189,0.97158,0.071802,-0.22558,-0.06043,0.99655,0.056928,0.22889,-0.041678,0.97256,-3.35,-13.037,-4.2266,-0.024837,-0.11447,-0.033306,0.99256,-0.20395,-0.94,-0.2735,13.989,21.943,137.09,-489.42,0.0087742,0.22938,-0.52184,-0.059651,0.23326,-0.56793,-0.023942,0.2366,-0.58737,0.058922,0.22928,-0.57445
6190,0.96365,0.07966,-0.25503,-0.064718,0.99569,0.066468,0.25922,-0.047547,0.96465,-3.9417,-14.775,-4.7256,-0.028779,-0.1298,-0.036442,0.99045,-0.20876,-0.94156,-0.26435,15.848,23.702,136.58,-489.18,0.0096154,0.22891,-0.52107,-0.060232,0.23292,-0.56496,-0.025157,0.23624,-0.58552,0.058064,0.22988,-0.57498
6191,0.95539,0.08469,-0.28293,-0.068192,0.99537,0.067679,0.28736,-0.045367,0.95675,-4.0463,-16.435,-5.0657,-0.028594,-0.14425,-0.03867,0.98837,-0.18805,-0.94866,-0.25432,17.492,26.361,136.67,-489.13,0.010397,0.22898,-0.5202,-0.060697,0.23242,-0.56207,-0.026297,0.2362,-0.58361,0.057257,0.22992,-0.57569
6192,0.94596,0.094573,-0.31018,-0.075292,0.99444,0.073584,0.31541,-0.046254,0.94783,-4.4392,-18.07,-5.7092,-0.030387,-0.15863,-0.043072,0.98593,-0.18179,-0.94898,-0.25767,19.245,29.009,136.52,-489.4,0.011222,0.22881,-0.51953,-0.061081,0.23171,-0.5593,-0.027369,0.23595,-0.58185,0.056444,0.23033,-0.57637
6193,0.93515,0.1061,-0.33798,-0.082147,0.99304,0.084445,0.34459,-0.051204,0.93736,-5.1478,-19.754,-6.473,-0.034497,-0.17359,-0.047873,0.98305,-0.18816,-0.94679,-0.26112,21.129,31.747,136.13,-490.35,0.012116,0.22851,-0.51903,-0.06144,0.23103,-0.55659,-0.028402,0.23583,-0.58005,0.055525,0.23088,-0.57705
6194,0.92422,0.10661,-0.36667,-0.082939,0.99336,0.079768,0.37273,-0.043312,0.92693,-4.9185,-21.51,-6.5801,-0.031386,-0.18855,-0.048336,0.98037,-0.15919,-0.95632,-0.24516,22.742,33.66,136.46,-489.72,0.012948,0.22854,-0.51856,-0.061691,0.23059,-0.5539,-0.029439,0.23527,-0.57839,0.054607,0.23069,-0.57801
6195,0.91209,0.11809,-0.39262,-0.089519,0.99188,0.09038,0.4001,-0.047288,0.91525,-5.6396,-23.118,-7.3774,-0.035222,-0.20282,-0.053117,0.97714,-0.16568,-0.954,-0.24985,24.549,36.215,136.28,-490.79,0.013773,0.2284,-0.51817,-0.061873,0.23002,-0.55128,-0.030349,0.23524,-0.57665,0.053675,0.23137,-0.57874
6196,0.89933,0.12226,-0.41982,-0.091746,0.99151,0.092198,0.42753,-0.0444,0.90291,-5.8304,-24.823,-7.7413,-0.035065,-0.21752,-0.054935,0.97388,-0.15442,-0.95793,-0.24193,26.25,38.107,136.27,-490.71,0.014676,0.22822,-0.51786,-0.061964,0.22954,-0.5487,-0.031297,0.23469,-0.5751,0.05269,0.23151,-0.5796
6197,0.88604,0.12689,-0.44591,-0.096096,0.99119,0.091108,0.45354,-0.037875,0.89043,-5.8421,-26.481,-8.1498,-0.033225,-0.23169,-0.057439,0.97052,-0.13786,-0.96135,-0.23833,27.892,40.586,136.67,-490.97,0.015592,0.22837,-0.51758,-0.061904,0.22898,-0.54621,-0.03202,0.23434,-0.57347,0.051773,0.23159,-0.5805
6198,0.87149,0.13833,-0.47049,-0.099185,0.98928,0.10714,0.48027,-0.046701,0.87587,-6.9737,-28.066,-9.019,-0.039791,-0.24593,-0.061435,0.96652,-0.15508,-0.95845,-0.23943,29.735,42.8,136.01,-492.67,0.016617,0.22787,-0.51751,-0.06171,0.22842,-0.54379,-0.032635,0.23422,-0.57182,0.050908,0.23224,-0.58125
6199,0.85718,0.13754,-0.49632,-0.10361,0.99003,0.095415,0.50449,-0.030363,0.86288,-6.3099,-29.757,-9.1159,-0.03265,-0.25979,-0.062599,0.96308,-0.12128,-0.965,-0.23252,31.235,45.384,137.11,-492.21,0.017618,0.22844,-0.51729,-0.061391,0.22795,-0.54142,-0.033221,0.23373,-0.57036,0.050074,0.23196,-0.58227
6200,0.84113,0.14475,-0.5211,-0.10269,0.98874,0.10889,0.531,-0.038083,0.84652,-7.3301,-31.406,-9.7643,-0.038327,-0.27436,-0.064524,0.95869,-0.13475,-0.96456,-0.22685,33.05,47.208,136.36,-493.74,0.018737,0.22784,-0.51742,-0.060977,0.22752,-0.53909,-0.033713,0.23345,-0.56884,0.049224,0.23229,-0.58313
6201,0.82459,0.1514,-0.54509,-0.11108,0.9881,0.1064,0.55471,-0.027188,0.8316,-7.2911,-33.031,-10.404,-0.034989,-0.28806,-0.068747,0.9545,-0.11733,-0.96596,-0.23053,34.7,50.005,137.39,-493.96,0.019854,0.2284,-0.51738,-0.060413,0.22707,-0.53682,-0.034083,0.23311,-0.56733,0.048387,0.23285,-0.58402
6202,0.80688,0.15549,-0.56989,-0.10995,0.98741,0.11373,0.5804,-0.02911,0.81381,-7.9557,-34.743,-10.907,-0.0376,-0.30279,-0.069869,0.94975,-0.12012,-0.96734,-0.22321,36.482,52.353,136.91,-495.83,0.021139,0.22796,-0.51766,-0.059674,0.22644,-0.53459,-0.034301,0.2328,-0.56588,0.047595,0.23262,-0.58512
6203,0.788,0.16134,-0.59416,-0.11722,0.98672,0.11247,0.60441,-0.018983,0.79645,-8.038,-36.453,-11.571,-0.034781,-0.31712,-0.073701,0.94488,-0.10623,-0.96853,-0.22509,38.225,55.431,137.81,-496.57,0.022563,0.22842,-0.51779,-0.058738,0.22592,-0.53233,-0.034338,0.23245,-0.5644,0.046932,0.23299,-0.58609
6204,0.76796,0.16742,-0.61822,-0.12056,0.98576,0.1172,0.62905,-0.015475,0.77721,-8.5754,-38.187,-12.299,-0.035303,-0.33188,-0.076628,0.93954,-0.10309,-0.96917,-0.22377,40.051,58.158,138.05,-497.6,0.024175,0.22843,-0.51805,-0.057502,0.22547,-0.53006,-0.034205,0.23202,-0.56285,0.046392,0.23339,-0.58697
6205,0.74729,0.17374,-0.64138,-0.12056,0.98464,0.12626,0.65347,-0.017031,0.75676,-9.4724,-39.895,-13.089,-0.038359,-0.34663,-0.078783,0.9339,-0.10729,-0.9695,-0.22035,41.897,60.926,137.78,-499.53,0.025959,0.22812,-0.5184,-0.05604,0.2249,-0.52781,-0.03378,0.23172,-0.56131,0.046024,0.23353,-0.58791
6206,0.72611,0.17618,-0.66462,-0.12179,0.98429,0.12786,0.67671,-0.011899,0.73616,-9.8535,-41.654,-13.639,-0.037642,-0.36126,-0.080252,0.92824,-0.1012,-0.97119,-0.21575,43.675,63.927,138.01,-500.45,0.028002,0.22811,-0.51867,-0.054234,0.2245,-0.52551,-0.033043,0.23125,-0.55973,0.045851,0.23358,-0.58879
6207,0.70424,0.18206,-0.68622,-0.12141,0.98321,0.13626,0.69951,-0.012648,0.71451,-10.797,-43.332,-14.495,-0.040367,-0.37565,-0.082266,0.92222,-0.1044,-0.97151,-0.21276,45.495,67.189,138.01,-502.57,0.030283,0.22807,-0.51894,-0.052113,0.2241,-0.52323,-0.032042,0.23121,-0.55801,0.045915,0.2338,-0.58953
6208,0.68215,0.184,-0.70769,-0.12038,0.98288,0.13952,0.72124,-0.0099835,0.69261,-11.389,-45.047,-15.096,-0.040795,-0.38991,-0.083055,0.91619,-0.1018,-0.97298,-0.20726,47.249,70.319,137.98,-503.57,0.032748,0.22789,-0.51925,-0.049727,0.22375,-0.52098,-0.030749,0.23073,-0.55641,0.046156,0.23381,-0.59029
6209,0.65997,0.1892,-0.72708,-0.11786,0.98186,0.14852,0.74199,-0.012326,0.6703,-12.493,-46.642,-15.997,-0.04419,-0.4036,-0.084361,0.90996,-0.10656,-0.97327,-0.20343,48.999,73.701,137.77,-505.99,0.035385,0.22771,-0.51956,-0.047103,0.2233,-0.51881,-0.029224,0.23072,-0.55476,0.046606,0.23385,-0.59097
6210,0.63796,0.18965,-0.74635,-0.11788,0.98183,0.14872,0.76099,-0.006897,0.64873,-12.912,-48.275,-16.556,-0.043039,-0.41687,-0.085053,0.90395,-0.10064,-0.97484,-0.19889,50.635,77.365,137.96,-507.57,0.038168,0.2277,-0.51984,-0.044217,0.22282,-0.51672,-0.027431,0.23041,-0.55315,0.047242,0.23347,-0.59169
6211,0.61536,0.19311,-0.76423,-0.12087,0.98118,0.15061,0.77893,-0.00030656,0.62712,-13.504,-49.838,-17.423,-0.042027,-0.42974,-0.087438,0.89773,-0.095396,-0.97545,-0.19847,52.278,81.287,138.46,-508.62,0.041144,0.22789,-0.52008,-0.041087,0.22246,-0.51466,-0.025411,0.23003,-0.55152,0.04811,0.23368,-0.59218
6212,0.59356,0.19348,-0.78118,-0.11119,0.98108,0.1585,0.79707,-0.0072216,0.60384,-14.708,-51.369,-18.054,-0.046478,-0.44263,-0.085445,0.89142,-0.10256,-0.9767,-0.18854,53.897,84.182,137.46,-510.37,0.044227,0.22714,-0.5205,-0.037837,0.22216,-0.51264,-0.023183,0.22972,-0.55,0.049155,0.23333,-0.59271
6213,0.57133,0.19809,-0.79646,-0.10857,0.98015,0.1659,0.81351,-0.0083114,0.58149,-15.923,-52.793,-19.122,-0.049211,-0.45479,-0.086626,0.88501,-0.1057,-0.97684,-0.18606,55.494,87.835,137.03,-512.48,0.047428,0.22668,-0.52094,-0.034367,0.22147,-0.51085,-0.020766,0.22929,-0.54854,0.050344,0.23313,-0.59322
6214,0.54973,0.19739,-0.81169,-0.10645,0.98031,0.1663,0.82853,-0.0050202,0.55992,-16.542,-54.261,-19.751,-0.048731,-0.46655,-0.086423,0.87891,-0.10217,-0.97813,-0.18119,56.977,91.532,137.19,-513.99,0.050682,0.22673,-0.52135,-0.030843,0.2213,-0.50911,-0.018233,0.22917,-0.54712,0.051648,0.23291,-0.59378
