frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,roll,pitch,yaw,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
2850,0.99584,0.044326,0.079636,-0.034291,0.99178,-0.12323,-0.084444,0.11999,0.98918,7.1015,4.5676,-2.5486,0.060984,0.041139,-0.019711,0.9971,0.80075,0.54019,-0.25882,8.7355,-9.5546,98.202,-563.95,-0.010346,0.16419,-0.6262,-0.067982,0.15255,-0.68419,0.0023847,0.14966,-0.68246,0.048843,0.14981,-0.66509
2870,0.99666,0.052397,0.06257,-0.044241,0.99113,-0.12528,-0.06858,0.1221,0.99015,7.2114,3.5873,-3.0094,0.062017,0.032878,-0.024226,0.99724,0.83517,0.44277,-0.32625,8.5169,-10.179,98.91,-562.87,-0.012558,0.16472,-0.62528,-0.071124,0.15243,-0.68232,-0.00066725,0.15008,-0.68189,0.04607,0.15062,-0.66537
2873,0.99754,0.052973,0.045868,-0.047361,0.99214,-0.11581,-0.051642,0.11335,0.99221,6.6573,2.629,-3.0397,0.05742,0.024433,-0.02514,0.99773,0.8535,0.36317,-0.37369,7.7151,-9.7272,98.168,-563.12,-0.013306,0.16452,-0.62489,-0.072768,0.15268,-0.68088,-0.0023392,0.15047,-0.68157,0.044593,0.1509,-0.66583
2875,0.99822,0.054141,0.0251,-0.051145,0.99288,-0.10762,-0.030748,0.10615,0.99388,6.1801,1.4383,-3.1045,0.053542,0.013988,-0.026371,0.99812,0.87343,0.22819,-0.43019,7.029,-9.1429,97.592,-563.09,-0.013873,0.16435,-0.62435,-0.074451,0.15301,-0.67908,-0.0040382,0.15068,-0.68118,0.043241,0.15129,-0.66635
2877,0.99865,0.051808,-0.0022077,-0.051737,0.99263,-0.10955,-0.0034843,0.10952,0.99398,6.2897,-0.12649,-2.9697,0.05487,0.00031972,-0.025934,0.99816,0.90409,0.005268,-0.42731,6.959,-7.9207,97.963,-562.39,-0.014206,0.16454,-0.62371,-0.076338,0.15309,-0.67683,-0.0059846,0.15063,-0.68093,0.041676,0.1511,-0.66747
2879,0.99826,0.05228,-0.027172,-0.054908,0.99272,-0.10723,0.021368,0.10853,0.99386,6.1577,-1.557,-2.9979,0.054042,-0.012158,-0.026848,0.9981,0.87793,-0.19751,-0.43615,7.0582,-6.5586,97.931,-562.26,-0.014339,0.16456,-0.62335,-0.077737,0.15318,-0.67488,-0.0075513,0.15069,-0.68074,0.040433,0.15124,-0.66845
2881,0.9972,0.047896,-0.05738,-0.053559,0.99338,-0.1016,0.052134,0.10439,0.99317,5.8411,-3.2894,-2.7499,0.051603,-0.027434,-0.025416,0.99797,0.80972,-0.43048,-0.3988,7.3079,-4.6721,97.484,-562.53,-0.014342,0.16443,-0.62299,-0.079306,0.15338,-0.67249,-0.0093219,0.15092,-0.68041,0.03903,0.15093,-0.66971
2883,0.99454,0.048425,-0.092395,-0.057833,0.9931,-0.10204,0.086816,0.10682,0.99048,5.8817,-5.3014,-2.7875,0.052358,-0.044926,-0.026637,0.99726,0.70798,-0.60748,-0.36019,8.4823,-2.625,97.696,-562.13,-0.014195,0.16446,-0.62247,-0.080916,0.15338,-0.66976,-0.011212,0.15071,-0.68007,0.037438,0.151,-0.67098
2884,0.99283,0.044814,-0.1108,-0.055577,0.99382,-0.096047,0.10581,0.10152,0.98919,5.5458,-6.3612,-2.5844,0.04954,-0.054315,-0.025174,0.99698,0.63754,-0.69899,-0.32397,8.9134,-1.3007,97.303,-562.51,-0.014095,0.16446,-0.62215,-0.081694,0.15369,-0.66812,-0.012217,0.15114,-0.67972,0.036606,0.15087,-0.67167
2885,0.99037,0.046062,-0.13058,-0.058925,0.9936,-0.096419,0.1253,0.10319,0.98674,5.581,-7.5031,-2.6629,0.050085,-0.064206,-0.026344,0.99633,0.5852,-0.7502,-0.3078,9.8194,-0.37325,97.568,-562.12,-0.013998,0.16456,-0.62177,-0.082443,0.15389,-0.66643,-0.013266,0.15098,-0.67947,0.035727,0.15118,-0.67221
2886,0.98768,0.045528,-0.14972,-0.059914,0.99386,-0.093023,0.14456,0.10085,0.98434,5.3986,-8.6106,-2.6392,0.048676,-0.073886,-0.026474,0.99573,0.52705,-0.80003,-0.28665,10.598,1.2066,97.495,-562.26,-0.01389,0.16468,-0.62133,-0.083276,0.15392,-0.66468,-0.014314,0.15136,-0.67903,0.034777,0.15118,-0.67282
2887,0.98456,0.044335,-0.16935,-0.060609,0.9939,-0.092164,0.16423,0.10101,0.98124,5.3659,-9.75,-2.5783,0.048538,-0.083818,-0.026369,0.99495,0.48352,-0.83499,-0.26269,11.522,2.2365,97.58,-562.03,-0.013767,0.16474,-0.6209,-0.084021,0.15416,-0.66288,-0.015352,0.15132,-0.67866,0.03388,0.15124,-0.67341
2888,0.98109,0.043964,-0.18849,-0.061603,0.99415,-0.088769,0.18348,0.098702,0.97806,5.186,-10.865,-2.5658,0.047144,-0.09354,-0.026547,0.99414,0.43627,-0.86563,-0.24567,12.407,3.4413,97.541,-562.08,-0.013659,0.16485,-0.62046,-0.084703,0.1544,-0.6611,-0.016412,0.15157,-0.67815,0.032936,0.15142,-0.67391
