frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,roll,pitch,yaw,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
4509,0.99989,-0.014744,0.0019778,0.0147,0.95894,-0.28322,0.0022792,0.28321,0.95905,16.452,0.11332,0.8448,0.14308,-7.6131e-05,0.0074378,0.98968,0.99865,-0.00053135,0.051912,16.475,7.6077,75.602,-700.05,0.0089972,0.13596,-0.73503,-0.046577,0.13601,-0.79603,-0.007244,0.13432,-0.80682,0.069651,0.12591,-0.77339
4530,0.99983,-0.018556,-0.0019665,0.017077,0.95238,-0.30443,0.007522,0.30434,0.95253,17.724,-0.11267,1.0633,0.15404,-0.0024009,0.0090164,0.98802,0.99817,-0.015558,0.058427,17.755,6.5074,74.598,-718.49,0.0074885,0.13433,-0.75455,-0.048431,0.13303,-0.81542,-0.009161,0.13133,-0.82631,0.067951,0.12281,-0.79334
4686,0.99969,-0.015632,0.01937,0.020451,0.95942,-0.28122,-0.014188,0.28153,0.95945,16.336,1.1099,0.89584,0.14214,0.0084764,0.009114,0.98977,0.99619,0.059405,0.063874,16.407,-6.4118,74.144,-696.79,-0.0046815,0.13467,-0.73148,-0.059241,0.13473,-0.79353,-0.019737,0.13327,-0.80364,0.0566,0.12438,-0.76912
4773,0.99914,-0.020581,0.036013,0.029984,0.95829,-0.28423,-0.028661,0.28506,0.95808,16.524,2.0638,1.1801,0.14385,0.016342,0.012777,0.98938,0.98976,0.11244,0.087912,16.714,-0.38813,74.386,-696.94,0.0021466,0.1348,-0.73177,-0.051369,0.13488,-0.79472,-0.011724,0.13325,-0.80411,0.064,0.12402,-0.76832
4844,0.99921,-0.015502,0.036593,0.024754,0.96312,-0.26794,-0.03109,0.26863,0.96274,15.552,2.0971,0.88881,0.13542,0.017081,0.01016,0.99059,0.9894,0.1248,0.074229,15.733,0.64308,73.434,-688.34,0.0026833,0.13449,-0.72205,-0.050807,0.13527,-0.78505,-0.011065,0.13415,-0.79431,0.064603,0.12458,-0.75861
4868,0.99939,-0.011828,0.032723,0.019652,0.96797,-0.25031,-0.028714,0.25081,0.96761,14.504,1.8752,0.67807,0.12631,0.015486,0.0079347,0.99184,0.99064,0.12145,0.062231,14.651,-1.08,72.23,-683.5,0.00058995,0.1339,-0.7161,-0.053125,0.13561,-0.77889,-0.013433,0.13482,-0.78828,0.062394,0.12494,-0.75299
4893,0.99945,-0.02511,0.021623,0.029904,0.96459,-0.26206,-0.014277,0.26256,0.96481,15.196,1.239,1.4392,0.13234,0.0090561,0.013878,0.99107,0.99225,0.067901,0.10405,15.329,2.0898,72.982,-684.37,0.0045481,0.13414,-0.71789,-0.04981,0.13597,-0.78002,-0.010286,0.13428,-0.79006,0.065885,0.1241,-0.75549
4929,0.99966,-0.020385,-0.016128,0.014951,0.95849,-0.28475,0.021263,0.28441,0.95847,16.546,-0.92409,1.1682,0.1438,-0.0094466,0.0089275,0.98952,0.99594,-0.065427,0.061832,16.603,3.5358,74.136,-692.77,0.0042073,0.13458,-0.72763,-0.052495,0.13469,-0.78762,-0.013307,0.13308,-0.79903,0.064087,0.12384,-0.76718
4933,0.99928,-0.018196,-0.033357,0.007821,0.95758,-0.28805,0.037183,0.28758,0.95703,16.751,-1.9116,1.0432,0.14548,-0.017828,0.0065753,0.98918,0.99158,-0.12151,0.044816,16.874,4.2854,74.236,-692.73,0.004324,0.13454,-0.72785,-0.053449,0.13436,-0.78693,-0.014495,0.13273,-0.79905,0.063507,0.12387,-0.76844
4936,0.99833,-0.019603,-0.054263,0.0030825,0.95729,-0.28912,0.057613,0.28848,0.95575,16.831,-3.1106,1.1249,0.14603,-0.028284,0.0057354,0.98886,0.98102,-0.19002,0.038531,17.121,4.8156,74.352,-693.32,0.0043194,0.13457,-0.72857,-0.054608,0.13448,-0.78633,-0.015924,0.13268,-0.79928,0.062675,0.12388,-0.7703
4940,0.99688,-0.01904,-0.07663,-0.004281,0.95603,-0.29324,0.078844,0.29265,0.95296,17.104,-4.3949,1.0942,0.14823,-0.039334,0.003734,0.98816,0.96626,-0.25641,0.024341,17.648,5.7167,74.479,-693.69,0.004418,0.13453,-0.7292,-0.055838,0.13416,-0.78566,-0.017448,0.1323,-0.79952,0.061774,0.12374,-0.77215
4943,0.99457,-0.023077,-0.1015,-0.0079419,0.95545,-0.29505,0.10379,0.29425,0.95008,17.252,-5.8256,1.3292,0.1492,-0.051975,0.0038318,0.98743,0.94406,-0.32888,0.024246,18.186,7.1156,74.536,-694.32,0.0049769,0.13459,-0.72979,-0.056653,0.13425,-0.78471,-0.018627,0.13237,-0.79948,0.061231,0.12335,-0.77419
