frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,roll,pitch,yaw,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
3302,0.99868,0.026158,0.04431,-0.020941,0.99322,-0.11436,-0.047001,0.11328,0.99245,6.5733,2.5396,-1.5004,0.057023,0.022873,-0.011798,0.99804,0.91147,0.3656,-0.18858,7.1737,2.3748,142.6,-635.16,-0.0011693,0.20715,-0.66921,-0.05993,0.20772,-0.72696,-0.021101,0.20763,-0.73986,0.05768,0.2009,-0.71087
3419,0.99892,0.034091,0.031548,-0.02996,0.99193,-0.12324,-0.035495,0.12216,0.99188,7.0824,1.8079,-1.9546,0.061481,0.016797,-0.016047,0.99784,0.93545,0.25557,-0.24416,7.5368,-0.32445,143.74,-635.65,-0.0048642,0.20797,-0.67021,-0.064346,0.20753,-0.72722,-0.025699,0.20767,-0.74068,0.053531,0.20171,-0.71271
3443,0.99848,0.049886,0.023509,-0.046647,0.99137,-0.1225,-0.029418,0.12122,0.99219,7.0384,1.3471,-2.8602,0.061067,0.013262,-0.024188,0.99775,0.91134,0.19791,-0.36097,7.6843,-1.9233,144.49,-637.18,-0.0080269,0.20871,-0.6715,-0.067934,0.20724,-0.72807,-0.029455,0.2082,-0.7417,0.050089,0.20321,-0.71435
3449,0.99836,0.057039,0.00434,-0.056046,0.99052,-0.12539,-0.011451,0.12494,0.9921,7.2032,0.24866,-3.2699,0.062731,0.0039571,-0.028339,0.99762,0.90982,0.057392,-0.41101,7.9072,-3.894,144.84,-636.92,-0.010811,0.20881,-0.67156,-0.071774,0.20682,-0.72689,-0.033486,0.20776,-0.74142,0.046559,0.20376,-0.71557
3451,0.99757,0.067985,-0.015503,-0.069367,0.9902,-0.1212,0.0071116,0.12198,0.99251,6.962,-0.8883,-3.8987,0.060944,-0.0056677,-0.034423,0.99753,0.86787,-0.08071,-0.4902,8.0535,-3.9171,144.8,-637.24,-0.012524,0.20885,-0.67133,-0.074554,0.20622,-0.72548,-0.036614,0.20786,-0.74062,0.044001,0.20435,-0.71649
3453,0.99577,0.081416,-0.04265,-0.086032,0.98894,-0.12079,0.032345,0.12394,0.99176,6.9438,-2.4444,-4.6742,0.061363,-0.018804,-0.041986,0.99705,0.80011,-0.24519,-0.54745,8.797,-3.8291,144.97,-636.89,-0.014353,0.20887,-0.67074,-0.077832,0.20524,-0.72325,-0.040331,0.20746,-0.73939,0.040925,0.20494,-0.71759
3454,0.99452,0.085064,-0.060772,-0.091654,0.98907,-0.11546,0.050286,0.1204,0.99145,6.6427,-3.4841,-4.8888,0.059151,-0.027852,-0.044318,0.99688,0.74889,-0.35262,-0.56109,9.0604,-3.8743,144.77,-636.85,-0.015114,0.20873,-0.67036,-0.079516,0.20513,-0.72166,-0.042339,0.20744,-0.73848,0.03935,0.20527,-0.71808
3455,0.99272,0.089437,-0.080687,-0.098016,0.98914,-0.10951,0.070017,0.11662,0.99071,6.3075,-4.628,-5.1481,0.056725,-0.037806,-0.047025,0.99656,0.68496,-0.45651,-0.56783,9.5008,-3.9221,144.55,-636.7,-0.015855,0.20854,-0.6699,-0.081211,0.20499,-0.71981,-0.044403,0.20733,-0.73744,0.037667,0.20568,-0.71859
3456,0.98712,0.09985,-0.12502,-0.11353,0.98769,-0.10758,0.11274,0.12038,0.98631,6.2247,-7.1817,-5.776,0.057269,-0.059729,-0.053607,0.99513,0.58085,-0.6058,-0.54371,11.317,-2.8785,144.69,-636.12,-0.017085,0.20847,-0.66883,-0.084612,0.20402,-0.71581,-0.048628,0.20679,-0.73513,0.034218,0.20595,-0.72005
3457,0.98327,0.10472,-0.14908,-0.12099,0.98713,-0.10461,0.1362,0.1209,0.98328,6.0729,-8.5734,-6.0791,0.056707,-0.071736,-0.056757,0.99419,0.52689,-0.66654,-0.52736,12.357,-2.3652,144.71,-635.78,-0.017487,0.20838,-0.66829,-0.086122,0.20368,-0.71359,-0.050627,0.20647,-0.73382,0.032558,0.20626,-0.72065
